FECHA,MES,RANGO HORARIO,DIA SEMANA,DISTRITO,LUGAR DEL ACCIDENTE,NUM PARTE,NUM VICTIMAS,TIPO ACCIDENTE,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2018-05-05,MAYO,DE 12:00 A 12:59,SABADO,CARABANCHEL,AVENIDA DE LOS POBLADOS - CALLE DE LA SECOYA  0,2018/4628,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-05,MAYO,DE 16:00 A 16:59,SABADO,MONCLOA-ARAVACA,CALLE DE FERRAZ - CALLE DEL MARQUES DE URQUIJO0,2018/4636,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-06,MAYO,DE 9:00 A 9:59,DOMINGO,VILLA DE VALLECAS,AVENIDA DEL MAYORAZGO - CAMINO DE LA MAGDALENA0,2018/4854,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HG                                      ,DE 40 A 44 
2018-05-06,MAYO,DE 10:00 A 10:59,DOMINGO,CENTRO,CALLE DE ARGUMOSA - RONDA DE ATOCHA  0,2018/4659,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-06,MAYO,DE 15:00 A 15:59,DOMINGO,CENTRO,CALLE DE FUCAR - CALLE DEL GOBERNADOR0,2018/4701,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-05-07,MAYO,DE 8:00 A 8:59,LUNES,PUENTE DE VALLECAS,AVENIDA DE ENTREVIAS - CAMINO DE LAS HORMIGUERAS 0,2018/4804,1,CHOQUE CON OBJETO FIJO                  ,CONDUCTOR,HOMBRE,HL                                      ,DE 70 A 74 
2018-05-08,MAYO,DE 8:00 A 8:59,MARTES,TETUAN,CALLE DE NUMANCIA NUM 33,2018/4765,2,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-05-08,MAYO,DE 16:00 A 16:59,MARTES,CHAMARTIN,CALLE DE VICTOR DE LA SERNA - CALLE DEL PINTOR RIBERA  0,2018/4746,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-09,MAYO,DE 14:00 A 14:59,MIERCOLES,CHAMBERI,CALLE DE MIGUEL ANGEL NUM12,2018/4826,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 55 A 59 
2018-05-09,MAYO,DE 18:00 A 18:59,MIERCOLES,RETIRO,CALLE DE SAMARIA - CALLE DEL DOCTOR ESQUERDO  0,2018/4792,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HG                                      ,DE 25 A 29 
2018-05-09,MAYO,DE 20:00 A 20:59,MIERCOLES,TETUAN,CALLE DE ORENSE - CALLE DEL GENERAL YAGÜE  0,2018/4832,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-10,MAYO,DE 7:00 A 7:59,JUEVES,CHAMBERI,CALLE DE ALONSO CANO - CALLE DE RIOS ROSAS 0,2018/4843,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,IL                                      ,DE 40 A 44 
2018-05-10,MAYO,DE 11:00 A 11:59,JUEVES,MONCLOA-ARAVACA,CALLE DE ARROYOFRESNO NUM7,2018/5818,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 40 A 44 
2018-05-11,MAYO,DE 11:00 A 11:59,VIERNES,SALAMANCA,AVENIDA DE LOS TOREROS NUM  71,2018/4983,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-05-11,MAYO,DE 13:00 A 13:59,VIERNES,RETIRO,PLAZA DE CANOVAS DEL CASTILLO - PLAZA DE LA LEALTAD 0,2018/4906,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-11,MAYO,DE 22:00 A 22:59,VIERNES,CENTRO,CALLE DE CEDACEROS - CARRERA DE SAN JERONIMO  0,2018/5237,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-11,MAYO,DE 22:00 A 22:59,VIERNES,MONCLOA-ARAVACA,PASEO DEL ROBLEDAL 0,2018/4988,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 30 A 34 
2018-05-12,MAYO,DE 10:00 A 10:59,SABADO,LATINA,CARRETERA DE BOADILLA DEL MONTE NUM  40,2018/4934,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-12,MAYO,DE 18:00 A 18:59,SABADO,TETUAN,CALLE DE ORENSE - CALLE DEL GENERAL YAGÜE  0,2018/5017,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-05-12,MAYO,DE 23:00 A 23:59,SABADO,RETIRO,AUTOVIA  M-30 CALZADA 1 - AVENIDA DE LA CIUDAD DE BARCELONA,2018/4904,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 18 A 20 
2018-05-13,MAYO,DE 18:00 A 18:59,DOMINGO,USERA,PARQUE DE MADRID RIO (RIBERA OESTE) KM. 5850,2018/5173,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,IL                                      ,DE 18 A 20 
2018-05-14,MAYO,DE 00:00 A 00:59,LUNES,ARGANZUELA,PASEO DEL DOCTOR VALLEJO NAGERA NUM  43,2018/4975,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-14,MAYO,DE 12:00 A 12:59,LUNES,MORATALAZ,AVENIDA DEL DOCTOR GARCIA TAPIA NUM  218,2018/4984,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 18 A 20 
2018-05-14,MAYO,DE 20:00 A 20:59,LUNES,RETIRO,PLAZA DE MARIANO DE CAVIA NUM  2,2018/4993,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HG                                      ,DE 35 A 39 
2018-05-16,MAYO,DE 14:00 A 14:59,MIERCOLES,PUENTE DE VALLECAS,AVENIDA DE MIGUEL HERNANDEZ NUM80,2018/5032,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 50 A 54 
2018-05-16,MAYO,DE 14:00 A 14:59,MIERCOLES,USERA,AVENIDA DEL MANZANARES NUM  212,2018/5198,2,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 40 A 44 
2018-05-16,MAYO,DE 14:00 A 14:59,MIERCOLES,USERA,AVENIDA DEL MANZANARES NUM  212,2018/5198,2,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-17,MAYO,DE 16:00 A 16:59,JUEVES,RETIRO,CALLE DE ALFONSO XII - PLAZA DE LA INDEPENDENCIA 0,2018/5081,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-17,MAYO,DE 18:00 A 18:59,JUEVES,TETUAN,CALLE DE ESPERANZA SANCHEZ CARRASCOSA NUM  58,2018/5265,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-17,MAYO,DE 19:00 A 19:59,JUEVES,CHAMARTIN,CALLE DE MAURICIO LEGENDRE NUM 43,2018/5087,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 55 A 59 
2018-05-18,MAYO,DE 11:00 A 11:59,VIERNES,SALAMANCA,CALLE DE CLAUDIO COELLO NUM 22,2018/5116,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-05-18,MAYO,DE 16:00 A 16:59,VIERNES,CENTRO,CALLE  MAYOR NUM4,2018/5224,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-05-19,MAYO,DE 00:00 A 00:59,SABADO,SALAMANCA,AVENIDA DE MENENDEZ PELAYO - CALLE DE O'DONNELL  0,2018/5108,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 30 A 34 
2018-05-19,MAYO,DE 14:00 A 14:59,SABADO,MONCLOA-ARAVACA,CUESTA DE SAN VICENTE NUM40,2018/5143,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-20,MAYO,DE 10:00 A 10:59,DOMINGO,VILLAVERDE,CALLE  GRAN VIA DE VILLAVERDE S/N 0,2018/5162,1,ATROPELLO                               ,CONDUCTOR,NO ASIGNADO,NO ASIGNADA,DESCONOCIDA
2018-05-20,MAYO,DE 11:00 A 11:59,DOMINGO,LATINA,PARQUE DE MADRID RIO (RIBERA OESTE) KM. 2200,2018/5165,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-20,MAYO,DE 11:00 A 11:59,DOMINGO,SAN BLAS,AVENIDA DE NIZA - CALLE DE MANCHESTER0,2018/5156,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-05-20,MAYO,DE 13:00 A 13:59,DOMINGO,HORTALEZA,CALLE DEL PINTOR LUCIO MUOZ - CALLE DEL PRINCIPE CARLOS  0,2018/5253,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-21,MAYO,DE 20:00 A 20:59,LUNES,CHAMBERI,CALLE DE BRAVO MURILLO - PLAZA DE JUAN ZORRILLA  0,2018/5318,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-05-21,MAYO,DE 21:00 A 21:59,LUNES,ARGANZUELA,PASEO DE PONTONES NUM 14,2018/5225,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 21 A 24 
2018-05-22,MAYO,DE 8:00 A 8:59,MARTES,CARABANCHEL,CALLE DEL GENERAL RICARDOS NUM 19,2018/5250,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 45 A 49 
2018-05-22,MAYO,DE 15:00 A 15:59,MARTES,CHAMARTIN,PLAZA DE JOSE MARIA SOLER0,2018/5269,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 15 A 17 
2018-05-22,MAYO,DE 16:00 A 16:59,MARTES,FUENCARRAL-EL PARDO,AVENIDA DEL CARDENAL HERRERA ORIA - CALLE DE LA MASO0,2018/5276,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 60 A 64 
2018-05-24,MAYO,DE 8:00 A 8:59,JUEVES,HORTALEZA,AVENIDA DE LOS MADROOS NUM 17,2018/5331,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-05-24,MAYO,DE 8:00 A 8:59,JUEVES,PUENTE DE VALLECAS,AVENIDA DE LA DEMOCRACIA NUM13,2018/5296,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-05-24,MAYO,DE 16:00 A 16:59,JUEVES,CENTRO,CALLE DE ALCALA NUM44,2018/5314,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HG                                      ,DE 30 A 34 
2018-05-26,MAYO,DE 10:00 A 10:59,SABADO,FUENCARRAL-EL PARDO,CALLE DE AFUERAS A VALVERDE - CALLE DE CALATRAVA 0,2018/5393,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 55 A 59 
2018-05-27,MAYO,DE 1:00 A 1:59,DOMINGO,CENTRO,CALLE DE LAS NEGRAS - CALLE DEL DUQUE DE LIRIA0,2018/5542,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 40 A 44 
2018-05-28,MAYO,DE 7:00 A 7:59,LUNES,USERA,CALLE DE ANTONIO LOPEZ - CAMINO DE PERALES  ,2018/5531,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 25 A 29 
2018-05-28,MAYO,DE 12:00 A 12:59,LUNES,RETIRO,CALLE DE ALCALA NUM60,2018/5457,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 18 A 20 
2018-05-29,MAYO,DE 7:00 A 7:59,MARTES,CENTRO,CALLE DE SEGOVIA - PLAZA DE LA CRUZ VERDE  0,2018/5545,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 25 A 29 
2018-05-31,MAYO,DE 18:00 A 18:59,JUEVES,RETIRO,CALLE DE ALFONSO XII - CALLE DE CLAUDIO MOYANO0,2018/5555,1,CAIDA MOTOCICLETA                       ,CONDUCTOR,HOMBRE,IL                                      ,DE 30 A 34 
2018-06-01,JUNIO,DE 15:00 A 15:59,VIERNES,CHAMBERI,CALLE DE ALBERTO AGUILERA NUM  48,2018/5609,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 30 A 34 
2018-06-01,JUNIO,DE 18:00 A 18:59,VIERNES,BARAJAS,GLORIETA DE ANIBAL GONZALEZ 0,2018/5592,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 50 A 54 
2018-06-01,JUNIO,DE 18:00 A 18:59,VIERNES,BARAJAS,GLORIETA DE ANIBAL GONZALEZ 0,2018/5592,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,IL                                      ,DE 50 A 54 
2018-06-01,JUNIO,DE 19:00 A 19:59,VIERNES,TETUAN,CALLE DE HERNANI NUM  75,2018/5697,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-06-02,JUNIO,DE 16:00 A 16:59,SABADO,CENTRO,PLAZA DE SALESAS NUM  8,2018/5753,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 25 A 29 
2018-06-03,JUNIO,DE 9:00 A 9:59,DOMINGO,CARABANCHEL,GLORIETA DEL MARQUES DE VADILLO NUM  1,2018/5651,2,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 60 A 64 
2018-06-03,JUNIO,DE 13:00 A 13:59,DOMINGO,TETUAN,CALLE  VIA LIMITE - CALLE DE LAS MAGNOLIAS 0,2018/5738,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-06-03,JUNIO,DE 14:00 A 14:59,DOMINGO,SALAMANCA,PASEO DE LA CASTELLANA NUM  22,2018/5726,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-06-04,JUNIO,DE 8:00 A 8:59,LUNES,HORTALEZA,AVENIDA DE LAS FUERZAS ARMADAS NUM5,2018/5655,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HG                                      ,DE 21 A 24 
